Code,Career Name,Career Name (Vietnamese)
1,Industrial Robotics Engineer,Kỹ sư Robot công nghiệp
2,Electric Automotive Technician,Kỹ thuật viên ô tô điện
3,Solar Panel Technician,Kỹ thuật viên lắp đặt năng lượng mặt trời
4,Construction Technician,Nhân viên kỹ thuật xây dựng
5,CNC Machine Operator,Kỹ thuật viên vận hành máy CNC
6,Genetics Researcher,Nhà nghiên cứu di truyền học
7,Social Science Data Analyst,Nhà phân tích dữ liệu khoa học xã hội
8,Artificial Intelligence Researcher,Nhà nghiên cứu trí tuệ nhân tạo
9,Physicist,Nhà vật lý học
10,Marine Biologist,Nhà sinh học biển
11,3D Graphic Designer,Nhà thiết kế đồ họa 3D
12,Interior Designer,Nhà thiết kế nội thất
13,Electronic Musician,Nhạc sĩ điện tử
14,Professional Photographer,Nhiếp ảnh gia chuyên nghiệp
15,Fashion Designer,Nhà thiết kế thời trang
16,Clinical Psychologist,Chuyên gia tâm lý học lâm sàng
17,Education Consultant,Chuyên viên tư vấn giáo dục
18,Social Worker,Nhân viên công tác xã hội
19,Soft Skills Instructor,Giảng viên kỹ năng mềm
20,Social Media Specialist,Chuyên viên truyền thông xã hội
21,Technology Entrepreneur,Chuyên gia khởi nghiệp công nghệ
22,Supply Chain Manager,Quản lý chuỗi cung ứng
23,Digital Marketing Specialist,Chuyên viên marketing số
24,Project Manager,Quản lý dự án
25,E-Commerce Specialist,Chuyên gia thương mại điện tử
26,Data Administrator,Nhân viên quản trị dữ liệu
27,IT Auditor,Chuyên viên kiểm toán CNTT
28,Human Resources Administrator,Chuyên viên quản trị nhân sự
29,Legal Document Processor,Chuyên viên xử lý tài liệu pháp lý
30,Management Accountant,Nhân viên kế toán quản trị
